Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
Sistem Monitoring Tanaman Berbasis Jaringan Sensor Nirkabel Menggunakan Arduino,Ahmad Muflih S,"Ari Kusumaningsih S.T., M.T","Koko Joni S.T.,M.Eng","Tanah merupakan merupakan lapisan permukaan bumi sebagai tempat tumbuh tanaman dan salah satu faktor penting untuk menunjang pertumbuhan dan perkembangan tanaman adalah kelembaban tanah. Seiring berkembangnya ilmu pengetahuan dan teknologi sekarang  penulis mencoba untuk membuat suatu perancangan sistem yang dapat mengontrol atau memantau tanaman dengan menggunakan kelembaban tanah sebagai indikator keadaan tanah berbasis jaringan sensor nirkabel menggunakan arduino. Pengukuran kelembaban tanah pada tanaman dilakukan dengan memanfaatkan satu sensor kelembaban tanah ber-tipe YL-69 dan dua sensor ber-tipe FC-28. Nilai yang terukur dari sensor akan diolah oleh mikrokontroler arduino yang terhubung dengan Ethernet Shield. Hasil pengukuran sensor kemudian dikirim melalui jaringan internet yang langsung terhubung dengan database server  dan hasil pengukuran selanjutnya akan di tampilkan melalui web server. Melalui aplikasi web  dapat memberikan informasi secara detail dan akurat. Dengan perancangan dan pengimplementasian sistem monitoring tanaman berbasis jaringan sensor nirkabel pemantuan dan pengolahan tanaman dapat dilakukan secara otomatis dan terkontrol. Hasil pengujian menunjukkan bahwa pengujian saat dilakukan pada ruang outdoor dan indoor berbeda nilai kelembaban tanah pada ruang indoor lebih stabil  dibuktikan dengan menghitung simpangan baku pada tiap tanaman di ruang indoor dan outdoor. Perbedaan nilai simpangan baku tanaman I sebesar 1,33%, pada tanaman II sebesar 0,14%, sedangkan pada tanaman III sebesar 0,15%.

Kata kunci: Jaringan Sensor Nirkabel, Web Server, Arduino, Jaringan Internet, Kelembaban Tanah."
APLIKASI TEXT TO SPEECH DALAM SISTEM PENERJEMAH BAHASA INDONESIA-MADURA DAN MADURA-INDONESIA MENGGUNAKAN METODE FSA (FINITE STATE AUTOMATA) BERBASIS ANDROID,Irman Maulana Darwis,"Aery Rachmad, S.T, M.T.",,"Bahasa Madura memiliki bahasa yang menjadi ciri khas dari orang yang mendiami suatu wilayah tertentu dan merupakan bahasa yang sulit untuk dipelajari, karena perbedaan kosa kata, tata bahasa, dan pengucapannya. Oleh karena itu, untuk melestarikan Bahasa Madura yang terancam punah perlu pola pembelajaran yang lebih efektif agar masyarakat Madura yang minim pengetahuan dapat menjaga kelestariannya. Aplikasiinimenggunakanmetode Free Context Parsing untukmenguraikankalimatmenjadi kata, danmenggunakanmetode FSA (Finite State Automata) untukpemenggalan kata sehinggamempermudahpengkonversianteksmenjadisuara.Dengan adanya âAplikasi Text to Speech dalam Sistem Penerjemah Bahasa Indonesia-Madura dan Madura-Indonesia menggunakan Metode FSA (Finite State Automata) Berbasis Androidâ dapat menjadi referensi dalam mempelajari dan meningkatkan kemampuan bahasa. Aplikasi text to speech dalam sistem penerjemah Bahasa Indonesia-Madura dan Madura-Indonesia ini bertujuan untuk menerapkan metode FSA (Finite State Automata) dalam aplikasi text to speech."
Pengaruh Penggunaan Preprocessing Pada Tingkat Similaritas Dokumen Menggunakan Algoritma Rabin-Karp (Studi Kasus : Abstrak Karya Ilmiah),Wildan,"Cucun Very Angkoso, ST., MT.","Firdaus Solihin, S.Kom., M.Kom","Plagiasi merupakan penjiplakan atau pengambilan karangan, pendapat dan sebagainya dari orang lain dan menjadikannya seolah karangan dan pendapat sendiri. Saat ini banyak kasus plagiasi yang terjadi, utamanya untuk karya ilmiah.
Untuk mendeteksi tingkat plagiasi suatu karya jelas dibutuhkan waktu yang tidak sedikit, karenanya dibutuhkan sistem untuk membantu dalam mendeteksi plagiasi. Salah satu algoritma yang bisa digunakan dalam membuat aplikasi pendeteksi plagiasi ini adalah algortima Rabin-Karp. Algoritma ini menggunakan fungsi hashing dan sangat efektif untuk pencarian multiple pattern.
Penelitian ini dilakukan ini merancang dan membuat sebuah sistem untuk mendeteksi tingkat plagiasi suatu karya dengan menggunakan algortima Rabin-Karp. Sistem ini dapat membantu mempercepat dalam melakukan pengecekan tingkat plagiasi suatu karya.
Hasil dari penelitian ini menunjukkan treshold untuk penggunaan preprocessing sebesar 70,95% dengan rata-rata waktu komputasi 336,69 detik dan yang tidak menggunakan preprocessing sebesar 79,96% dengan rata-rata waktu komputasi 7,40 detik."
Sistem Pendukung Keputusan Penjurusan Menggunakan Metode SMART pada SMK Negeri 1 Labang,MUZAMIL,"Eka Mala Sari Rochman, S. Kom., M. Kom",,"Abstrak
Selama  ini  penerimaan  siswa  baru  pada  SMK  Negeri  1  Labang  masih  menggunakan  cara 
manual sehingga kesulitan dalam mengambil keputusan siswa yang diterima. Untuk mengatasi hal 
tersebut maka pada penelitian ini membuat sebuah sistem pendukung keputusan penerimaan siswa 
baru  yang  berjudul  âSistem  Pendukung  Keputusan  Menggunakan  Metode  Simple  Multi  Attribute 
Rating  Technique  (SMART)  pada  SMKN  1  Labangâ.  Sistem  tersebut  menggunakan  3  kriteria 
penilaian  meliputi  Nilai  Ijazah,  Nilai  Ujian  Nasional  SMP  sederajat   dan  Minat  Siswa  yang 
dilakukan pada saat mendaftar di SMK Negeri 1 Labang. 
Pada  Nilai  Ijazah  terdapat  mata  pelajaran  (Matematika,  Bahasa  Indonesia,  Bahasa  Inggris, 
IPA,  TIK  dan  Penjaskes)  nilai  masing-masing  mata  pelajaran  dikalikan  bobot  yang  sudah 
ditentukan dan hasil pembobotan ditambahkan untuk mendapatkan Nilai Ijazah. Pada Nilai Ujian 
Nasional terdapat mata pelajaran (Matematika, Bahasa Indonesia, Bahasa Inggris  dan IPA) untuk 
mendapatkan  Nilai  Ujian  Nasional  prosesnya  sama  seperti  pada  Nilai  Ijazah.  Nilai  minat  siswa 
dikalikan bobot yang sudah ditentukan untuk mendapatkan nilai minat siswa.
Nilai  Ijazah,  Nilai  Ujian  Nasional  dan Minat  Siswa  di  normalisasi  dan  di jumlahkan  untuk 
mendapatkan nilai ahir. Dari nilai ahir ini akan diketahui alternatif terbaik dari alternatif lainnya dan 
alternatif terbaik ini yang di rekomendasikan oleh sistem.
Kata Kunci : SPK, SMK, metode SMART."
"PENGARUH DIAMETER PIPA KATALISATOR, JENIS BUSI,DAN KONSENTRASI ETANOL YANG DITAMBAH PADA BENSIN PREMIUM PADA PRODUK PENGHEMATAN BAHAN BAKAR HCS(HIDROCARBON CRACK SYTEM) TERHADAP DAYA SEPEDA MOTOR",abu mutolib,"mu'alim,ST., MT","Sugeng purwoko, ST., MT.","ABSTRAK
Bahan bakar merupakan salah satu energi yang sangat dibutuhkan oleh manusia untuk kehidupan sehari-hari, dalam penggunaannya lambat laun sumber bahan bakar semakin berkurang ketersediaannya, sedangkan di satu sisi kebutuhan manusia akan bahan bakar semakin besar, hal ini tidak sesuai dengan kebutuhan yang diinginkan oleh manusia. 
Alternatif-alternatif tersebut dilakukan sebagai salah satu langkah menangani krisis BBM dan untuk mendapatkan sumber bahan bakar yang murah sehingga masyarakat kecil dapat mengkonsumsi bahan bakar untuk kebutuhannya, setidaknya dengan adanya langkah pengolahan bahan bakar alternatif juga dapat membantu penghematan konsumsi BBM. Penghematan BBM merupakan salah satu langkah dalam menanggulangi krisis BBM dan kelangkaan BBM yang menjadi kendala bagi masyarakat kecil, langkah tersebut dapat dilakukan dengan berbagai cara yang dapat menghemat BBM. Salah satu produk penghemat bahan bakar yang ada di pasaran adalah Hidrocarbon Crack System (HCS).  HCS adalah produk penghemat BBM dengan sistem memecah atom hydrocarbon (bahan bakar premium atau pertamax) menjadi atom hydrogen (H2) dan carbon (C) dengan cara menggunakan pipa katalisator yang dipanaskan. Panas luar/exothermic yang digunakan adalah berasal dari panas mesin maupun dari knalpot yang bisa mencapai temperatur hingga 400 0C. (http://penghemathcs.blogspot.co.id/p/latar-belakang.html).Hidrocarbon Crack System (Hcs) Diameter Pipa Katalisator, Jenis Busi, Dan Kosentrasi Etanol Terhadap Daya Mesin Sepeda Motor ."
Sistem Informasi Profil Pendidikan Kabupaten Sidoarjo Berbasis Web Di Dinas Pendidikan Kabupaten Sidoarjo,Wildan Adji Nasrullah,"Achmad Yasid, S.Kom., M.Kom., M.B.A.","Achmad Yasid, S.Kom., M.Kom., M.B.A.","Dinas Pendidikan Kabupaten Sidoarjo (Dispendik Sidoarjo) memiliki beberapa tugas untuk mengelola semua data pendidikan di kabupaten Sidoarjo. Permasalahan yang dihadapi oleh Dispendik adalah proses pendataan profil pendidikan pada sekolah. Hal ini dikarenakan Dispendik tidak memiliki akses dalam lingkungan jaringan. Akibatnya proses pengiriman informasi data antara sekolah dengan Dispendik masih dilakukan secara manual. Selain itu, banyak orang tua siswa yang bingung dalam menentukan sekolah mana yang baik untuk putra-putrinya, dikarenakan kurangnya informasi mengenai sekolah yang ada di Kabupaten Sidoarjo.
Untuk mengatasi masalah diatas, maka dibuatlah sebuah sistem informasi profil pendidikan berbasis web pada kabupaten Sidoarjo. Fitur yang ada dalam sistem tersebut antara lain pencarian peta sekolah dan lokasi sekolah, daftar sekolah semua jenjang, detail sekolah, daftar guru, daftar siswa, daftar pegawai, album prestasi, rating sekolah, komentar, hasil rekapitulasi, grafik, laporan berupa cetakan dan proses validasi operator sekolah.
Sistem informasi ini dapat menjadi alat bantu dan memudahkan pihak sekolah dalam pendataan profil pendidikan pada sekolahnya. Bagi pihak Dispendik, sistem ini juga dapat memberikan kemudahan dalam melihat data profil pendidikan yang diinput oleh pihak sekolah berupa rekapitulasi dan grafik. Sedangkan bagi pihak orang tua siswa, sistem ini dapat memberikan informasi secara detail mengenai sekolah dan dapat melakukan perbandingan sekolah terbaik untuk putra-putrinya.

Kata kunci: sistem informasi,web, profil pendidikan."
"PENGARUH PANJANG PIPA KATALISATOR DAN KOMPOSISI PENAMBAHAN ETANOL-BENSIN PREMIUM  PADA PrototypePENGHEMAT BAHAN BAKAR HCS (Hydrocarbon Crack System)   TERHADAP KONSUMSI BAHAN BAKAR SPESIFIK 
PADA MOT",Abdul Qidham Dewantara,"Mu'alim S.T,M.T","Sugeng Purwoko S.T,M.T","ABSTRAK
Di era sekarang ini kebutuhan akan bahan bakar minyak sangalah penting. Karena harga minyak dunia menjadi barometer harga barang pokok lainnya. Di Negara Indonesia, kenaikanharga BBM (bahanbakarminyak) sudah menjadi rutinitas tahunan yang harus dihadapi. Dalam mengatasi permasalahan tentang bagaimanacara atau metode penghematan bahan bakar minyak, banyak dari masyarakat  yang  mengembangkan energy alternative sebagai solusi efektif dan efisien diantaranya HCS (Hidrocarbon Crack System) atau bahasa indonesianya system pemecahan hidrokarbon. HCS (Hydrocarbon Crack System) sangatlah berbeda dengan BBH yang dikembangkan di Negara  jepang tersebut.. Dalam penelitian ini ada 3 variabel, 2 variabel independent  yakni variasi panjang pipa dan komposisi penambahan etanol. Dan satu variable dependent yakni konsumsi bahan bakar. Metode yang digunakan adalah metode Design of  Experiment RAL factorial dengan masing â masing factor ada 3 taraf. Berdasarkan perhitungan manual analisis ragam 2 arah dan out put dari software Minitab 14 didapatkan faktor yang berpengaruh signifikan terhadap konsumsi bahan bakar sepeda motor adalah factor komposisi penambahan etanol dimana nilai F hitung > F tabel (7,875 > 4,256).  Dan nilai p â value nya lebih kecil dari 0,05 (0,01 <  0,05 ) . Dimana factor komposisi penambahan etanol mempunyai pengaruh sebesar  46.90 % dan sisanya dipengaruhi oleh factor  yang lain yang  tidak dijelaskan dalam penelitian ini. 
Kata kunci :Penghematanbahanbakar , HCS (Hydrocarbon Crack System) , AnalisisRagamDuaarah"
ANALISIS FAKTOR KESIAPAN PENGGUNAAN INFORMATION AND COMMUNICATION TECHNOLOGY (ICT) SEBAGAI MEDIA PEMASARAN UKM BATIK TANJUNG BUMI,Aminullah,"Ahmad Mughni, S.T., M.Eng. Mgt.","Agus Salim, S.T., M.T","Penggunaan E-Commerce sangat berpengaruh terhadap produktifitas penjualan, oleh karena itu dilakukan analisis kesiapan penggunaan E-Commerce terhadap UKM. Analisis faktor dan analisis diskriminan digunakan untuk mengetahui faktor yang berpengaruh terhadap kesiapan penggunaan ICT. Analisis faktor berfungsi untuk mengetahui faktor yang paling berpengaruh terhadap kesiapan penggunaanE-Commerce. Analisis diskriminan digunakan untuk mengukur tingkat kepentingan prediktor atau variabel terhadap kesiapan penggunaan ICT dengan uji cononical discriminant function. Untuk mengetahui hubungan penggunaan E-Commerceterhadap tingkat penjualan, tingkat pendidikan dan jumlah karyawan dilakukan Crosstab dengan uji Chi-Square.
Kata Kunci : E-Commerce, Analisis Faktor, Analisis Diskriminan, Crosstab."
simulasi keuangan berbasis android,imam achmad al abidulloh,"mohammad syarief, S.T., M.Cs","mohammad syarief, S.T., M.Cs","Abstract
Sebuah perusahaan yang bergerak di bidang keuangan seperti Perbankan memiliki banyak nasabah. Dari beberapa nasabah yang terdapat pada Perbankan tidak semua nasabah paham tentang perhitungan deposito, kredit, tabungan, mudhrabah, murabahah,dan nisbah. Nasabah pasti membutuhkan penjelesan tentang perhitungan deposito , kredit ,  tabungan, mudharabah, murabahah, dan nisbah yang terdapat pada Perbankan.
	Tugas akhir ini membangun Aplikasi Simulasi Keuangan Berbasis Android. Aplikasi ini hanya menghitung besaran deposito, kredit dan tabungan menurut rumus bunga flat. Aplikasi ini untuk membantu nasabah mengetahui berapa besaran deposito, kredit, tabungan, mudhrabah, murabahah, dan nisbah yang nasabah peroleh atau yang harus nasabah bayar berdasarkan bunga yang terdapat pada Perbankan. Pada aplikasi ini juga terdapat informasi tambahan seperti info kode atm dan kode siwft, serta terdapat perhitungan pajak bea cukai yang dikenakan untuk barang impor yang masuk ke Indonesia. Dan informasi lainnya seperti informasi bank pemberi layanan jasa kartu kredit, kredit rumah, kredit kendaraan bermotor, dan kredit tanpa angunan. Aplikasi ini memberikan kemudahan untuk nasabah mendapatakan informasi tentang keuangan yang akan direncanakan kedepannya.
Kata kunci : Simulasi keuangan, Android."
"PENGARUH GREEN MARKETING MIX, SATISFACTION TERHADAP ATTITUDE SERTA PENGARUH GREEN MARKETING MIX, SATISFACTION,ATTITUDE TERHADAP PRODUCT PURCHASE INTENTION
(Studi Kasus: Jamu Jokotole Madura)",Mahrus Alifahmi,"Dr. Rachmad Hidayat, M.T.","Sabarudin Akhmad, S.T., M.T.","Jamu adalah obat tradisional di Indonesia yang dibuat dari bahan-bahan alami berupa bagian dari tumbuhan dan ada juga yang menggunakan bahan dari buatan (bahan kimia green marketing adalah segala aktivitas pemasaran dengan bertanggungjawab terhadap lingkungan, yaitu dengan seminimum mungkin memberikan dampak yang negatif terhadap lingkungan. ), bauran pemasaran (marketing mix) adalah sebagai seperangkat variabel pemasaran, yang dapat dikendalikan dan dipadukan perusahaan untuk menghasilkan tanggapan yang diinginkan didalam pasar sasaran. Kegiatan- kegiatan yang dimaksud dalam definisi tersebut adalah keputusan dalam empat variabel, yaitu produk, harga, distribusi, dan promosi. Pengertian sikap dalam psikologis didefinisikan sebagai kecenderungan yang dinyatakan dengan mengevaluasi entitas tertentu dengan beberapa derajat mendukung atau tidak disukai. Satisfaction adalah kepuasan terkait dengan kualitas produk. Kualitas terbaik dari produk dapat membuat konsumen merasa lebih puas, sehingga menjadikan pelanggan bersedia untuk mengulang pembelian. Purchase Intention atau keinginan membeli merupakan apa yang konsumen pikir mereka akan membeli. Analisis path (analisis jalur) merupakan perluasan dari analisis regresi linier berganda atau analisis jalur adalah penggunaan analisis regresi untukmenaksir hubungan kausalitas antar variabel (model causal) yang telah ditetapkan sebelumnya berdasarkan teori. Pada pengujian sub struktur 1 didapatkan bahwa variabel marketing mix yang berpengaruh secara signifikan terhadap attitude. Pada pengujian sub struktur 2 didapatkan bahwa variabel marketing mix dan attitude yang berpengaruh secara signifikan pada purchase intention."
"PERANCANGAN EKSPERIMEN
PROTOTIPE SOLAR THERMOELECTRIC GENERATOR",Chandra Yudha Prawira,"Ari Basuki ST., M.T","Muâalim ST., M.T","Desain Eksperimen terdiri dari prinsip dasar yaitu perlakuan, unit eksperimen, dan kekeliruan eksperimen, pengacakan, replikasi, dan kontrol lokal. Design of experiment faktorial adalah kombinasi silang antar level dari dua atau lebih faktor. Pada rancangan factorial 2k, banyaknya taraf yaitu 2 ditulis sebagai bilangan pokok, sedangkan banyaknya faktor yaitu k, ditulis sebagai pangkat, sehingga menghasilkan 2k kombinasi perlakuan. Prinsip kerja dari Termoelektrik adalah dengan berdasarkan Efek Seebeck yaitu âjika 2 buah logam yang berbeda disambungkan salah satu ujunganya, kemudian diberikan suhu yang berbeda pada sambungan, maka terjadi perbedaan tegangan pada ujung yang satu dengan ujung yang lain. Daya listrik diberi simbol huruf P dan dalam satuan Watt. Dalam penelitian ini pendekatan metode yang digunakan adalah perancangan percobaan faktorial. Variabel independent meliputi variasi bahan plat kolektor dan variasi bahan pendingin, sedangkan variabel dependent adalah daya solar TEG. Dari hasil penelitian diketahui Faktor Variasi bahan kolektor panas terhadap Daya output solar TEG berpengaruh secara signifikan karena nilai f hitung yaitu 9,73 > f tabel yaitu 3,55. Faktor Variasi bahan pendingin terhadap Daya output solar TEG berpengaruh secara signifikan karena nilai f hitung yaitu 3,59 > f tabel yaitu 3,55. Terdapat interaksi antara faktor Variasi bahan kolektor panas dan faktor Variasi bahan pendingin dan level yang ada pada faktor tersebut saling ketergantungan. Interaksi Faktor Variasi bahan kolektor panas dan Variasi bahan pendingin terhadap Daya output solar TEG tidak berpengaruh secara signifikan karena nilai f hitung = 0,644 < f tabel = 2,92."
"SISTEM INFORMASI PENGELOLAAN DATA ALUMNI 
(Study Kasus D3 Manajemen Infromatika )
",RHAMAD RIZANI,"SRI HERAWATI, S.Kom., M.Kom","SRI HERAWATI, S.Kom., M.Kom","Program Studi D3 Manajemen Informatika Universitas Trunojoyo Madura merupakan salah satu Prodi yang tingkat kelulusanya cukup tinggi dan sudah berdiri cukup lama di lingkungan Universitas Trunojyo Madura. Dan setiap tahun menhasilkan lulusan yang tersebar di berbagai daerah. Maka dari itu dibutuhkan suatu wadah atau media yang menyediakan informasi yang dibutuhkan oleh para mahasiswa dan lulusannya, seperti informasi tentang data alumni ataupun informsi tentang karir para lulusannya itu sendiri.
Salah satu tolak ukur kualitas pendidikan adalah jumlah lulusan dan kualiats yang dihasilkan. Suatu pengelolaan informasi data alumni yang dilakukan secara komputerisasi dapat mempermudah proses penelusuran alumni terkait dengan informasi alumni itu sendiri. Seperti tempat kerja, posisi kerja, info lowongan pekerjan, atau perusahaan yang bisa bekerja sama dengan Prodi sebagai tempat magang. 
Implementasi hasil perancangan yaitu pengkodean dengan menggunakan bahasa pemrograman yang telah di tetapkan. Hasilnya berupa aplikasi sistem informasi pengelolaan alumni program studi D3 Manajemen Informatika berbasis web. Aplikasi ini dikembangkan memanfaatkan teknologi informasi berbasis web dan menggunakan PHP sebagai bahasa script (script language) dan MySQL untuk pengolahan database server dan tools PHPMyAdmin.

Kata kunci :  Sistem Informasi, Alumni, Basis Data,"
"STRATEGI PEMASARAN PERUSAHAAN JAMU
(STUDI KASUS : JAMU JOKOTOLE DI KABUPATEN
BANGKALAN)",Ardian Chandra Kurnia,"Dr. Rachmad Hidayat, M.T.","Sabarudin Akhmad, S.T., M.T.","Jamu adalah obat herbal yang mana tidak mengandung bahan kimia dan
berasal dari tanaman obat yang berkhasiat. Selain itu selalu ada review tentang
manfaat dari tanaman untuk digunakan sebagai obat di beberapa media cetak.
Madura memiliki produk obat konsumen sangat dikenali luas, salah satu
contohnya adalah Jamu Jokotole. Selain produk merek terkenal pada produk
herbal yang kuat yang menjadi ciri herbal Madura, perusahaan juga memiliki
berbagai produk obat. perusahaan lain yang menghasilkan banyak tumbuhtumbuhan
ini wilayah Madura, pesaing utama dari produk-produk herbal dan
sumber herbal Ny Badriah madu Jamu Jokotole berusaha untuk meningkatkan
pangsa pasar mereka untuk mendapatkan pelanggan baru dengan strategi
pemasaran yang terbaik. Langkah-langkah untuk menganalisis strategi pemasaran
dapat dilakukan dengan menggunakan teori permainan atau teori permainan yang
disebut. strategi pemasaran herbal Jokotole menentukan pemain, menentukan
strategi yang ada, dan untuk menentukan preferensi masing-masing pemain,
konsumen akan memilih produk yang dapat memuaskan itu.
(Kata kunci: strategi pemasaran, teori permainan)"
"PENGARUH FAKTOR JENIS PENGASAHAN, JUMLAH MATA PISAU DAN SUDUT GEOMETRI TERHADAP KESERAGAMAN KETEBALAN POTONGAN KERUPUK PULI",Musannif,"Mu'alim ST., M.T","Anis Arendra, S.T., M.Eng","Kerupuk merupakan suatu jenis makanan kering yang terbuat dari bahan-bahan yang mengandung pati cukup tinggi. Desain eksperimen atau rancangan percobaan adalah suatu rancangan percobaan (dengan setiap langkah tindakan yang benar-benar terdefinisikan) sedemikian rupa sehingga informasi yang berhubungan dengan atau yang diperlukan untuk persoalan yang sedang diteliti dapat dikumpulkan. Rancangan faktorial adalah rancangan yang menggunakan lebih dari satu faktor, dimana setiap taraf dari faktor dikombinasikan dengan taraf-taraf faktor lain. Pada Penelitian melakukan percobaan pengaruh faktor jenis pengasahan, jumlah mata pisau, dan sudut geometri terhadap keseragaman ketebalan potongan kerupuk puli. Percobaan tersebut menggunakan factorial dimana yang efek atau faktor yang signifikan, dari gambar tersebut diketahui terdapat faktor yang signifikan terhadap tingkat keseragaman ketebalan potongan kerupuk puli, yaitu faktor 1 (Jenis pengasahan) dan Interaksi Faktor 1 dan faktor 2 (Faktor Jenis pengasahan dengan Jumlah mata pisau). Nilai pada faktor jenis pengasahan , nilai f hitung yaitu 5,74 dan nilai f tabel = 5,318 sehingga F hitung > f tabel ,sedangkan nilai p-value 0,044 < 0,05 maka Tolak H0 maka terdapat pengaruh Faktor Jenis pengasahan terhadap keseragaman ketebalan potongan kerupuk puli. Sedangkan pada Interaksi Faktor 1 dan faktor 2 (Faktor Jenis pengasahan dengan Jumlah mata pisau) nilai f hitung yaitu 6,97 dan nilai f tabel = 5,318 sehingga F hitung > f tabel ,sedangkan nilai p-value 0,030 < 0,05 maka tolak H0 maka terdapat pengaruh interaksi faktor 1 dan 2 terhadap keseragaman ketebalan potongan kerupuk puli.
Kata kuci : Kerupuk, Desain Eksperimen, Faktorial, .Faktor, Level"
PENGURANGAN DERAU SINYAL SUARA BERBASIS DFT DAN SMOOTHING ALGORITHM,Gabriel Juan Evangeli,"Dr. Arif Muntasa, S.Si., M.T.","Dr. Indah Agustien S., S.Kom.,M.Kom","Suara adalah salah satu bentuk komunikasi untuk mendapatkan informasi. Suara direpresentasikan dalam bentuk gelombang longitudinal yang merambat melalui zat cair, padat, maupun gas. Derau (noise) merupakan sinyal gangguan yang berasal dari suara lain yang tidak diinginkan, menyebabkan  gangguan pada sinyal suara. Informasi yang disampaikan menjadi tidak jelas ataupun mengganggu kenikmatan hiburan yang didengarkan. Maka pengurangan derau (noise reduction) pada gelombang suara penting untuk dilakukan. Pengurangan noise gelombang suara biasanya menggunakan spectral subtraction method. Spectral subtraction method menggunakan discrete fourier transform (DFT) sebagai metode untuk representasi sinyal frekuensi. Untuk itu perlu memperbaikinya dengan windowing,framing dan smoothing algorithm. Perbaikan pada 720 data suara ber-noise UTDALLAS (The University of Texas at Dallas). Dan pengurangan noise gelombang suara menggunakan spectral subtraction. Berdasarkan hasil uji coba yang telah dilakukan DFT dengan teknik smoothing algorithm mampu meningkatkan kualitas SNR dengan rata â rata 3.57 dB."
"RANCANG BANGUN GAME EDUKASI UNTUK PEMBELAJARAN BAHASA MADURA 
BERBASIS MOBILE ANDROID",Sudibyo Adimullah,"Cucun Very Angkoso, ST., MT.","Ari Kusumaningsih, ST., MT.",Salah satu media pembelajaran untuk menunjang belajar siswa dalam memahami materi-materi adalah dengan menggunakan media digital interaktif. Dengan belajar melalui suatu media unik dan menarik mampu menarik siswa untuk lebih secara aktif berfikir kritis sehingga siswa mampu lebih mendalami materi yang ia pelajari. Game Edukasi merupakan media yang menarik dan menyenangkan sehingga dapat menunjang proses belajar mengajar. Penelitian game edukasi âAcak Madura (Ajer Ocak Madura)â ini menggunakan metode LCM (Linear Congruent Method) sebagai pengacakan soal. Pembelajaran membahas mengenai gambar ataupun kata yang kemudian diartikan kedalam bahasa Madura dengan tingkatan bahasa engghi-bhunten. Tujuan dari perancangan permainan ini adalah untuk membuat system belajar yang menarik untuk anak dalam belajar tentang bahasa Madura. Pada hasil uji coba Game Acak Madura sebagai game edukasi dilakukan pengujian terhadap responden orang yang berbahasa Madura dalam keseharian (aktif) dan responden tidak berbahasa Madura dalam keseharian (pasif) dengan hasil untuk kategori game bola tangkap dengan responden orang yang berbahasa Madura dalam keseharian (aktif) meningkatkan kemampuan dengan jumlah 100% dan 31% pada kategori game tebak gambar. Sedangkan untuk responden berbahasa Madura (pasif)  mendapat nilai kemampuan 52% game bola tangkap dan 19% pada kategori game tebak gambar.
RANCANG BANGUN GAME SEBAGAI MEDIA AJAR UNTUK ANAK,Yoga Ryandita,"Arif Muntasa, S.Si., MT","Cucun Very Angkoso, ST., MT","Seiring perkembangan teknologi yang semakin pesat terutama di bidang multimedia, manusia dituntut untuk memiliki kemampuan bahasa yang bagus. Bahasa Inggris memiliki peranan penting dan menjadi salah satu bahasa yang amat sangat penting untuk dipelajari, karena banyak teknologi maju dalam bidang multimedia menggunakan bahasa Inggris sebagai bahasa mendasar untuk saling berkomunikasi.
Saat ini pembuatan game edukasi tengah berkembang pesat ditengah-tengah masyarakat, dan banyak anak kecil yang bosan untuk belajar bahasa Inggris namun gemar bermain game, maka perancangan game edukasi ini perlu untuk dilakukan sebagai media pembelajaran yang interaktif dan menarik minat anak-anak untuk belajar.
Dalam game Bahasa Inggris ini, pengguna selain belajar cara pengucapan kata yang benar, pengenalan warna dan nama-nama hari pengguna juga dapat menikmati beberapa permainan yang disediakan seperti menebak gambar. Berdasarkan hasil uji coba pada pengguna bahwa game ini user friendly. 85% responden menyatakan game menarik, 40% responden menyatakan game masih sulit, sisi materi 90% responden sangat membantu dalam permainan, sisanya 10% belum terbantu.

Kata Kunci: game Bahasa Inggris, edukasi, anak."
PEMETAAN JAMU NY BADRIJAH BANGKALAN TERHADAP PESAING PESAINGNYA MENGGUNAKAN PENDEKATAN GREEN MARKETING MIX,KOMARUDDIN,"Dr. Kukuh Winarso S.Si., MT","Muâalim ST., M.T","ramuan tradisional Madura diyakini banyak konsumen karena diformulasikan dengan menggunakan bahan-bahan alami dan resep tradisional Madura membuat penggemar herbal selalu mencari jamu kesehatan yang baik dan kebugaran fisik Jamu Ny Badriah adalah salah satu herbal yang banyak UKM di Bangkalan Madura. Penyampaian nilai-nilai yang ada dalam suatu produk kepada konsumen, untuk itu memerlukan konsep pemasaran yang tepat. Berkomunikasi keistimewaan dan kelemahan dari produk dalam rangka meningkatkan minat pembeli. Berdasarkan uraian dari latar belakang adalah dasar untuk melakukan penelitian dan mencoba untuk memecahkan masalah dengan menerapkan salah satu metode pemasaran adalah Marketing Mix. Pemasaran Mix mengacu pada kepuasan kebutuhan, keinginan, dan keinginan pelanggan dalam kaitannya dengan pemeliharaan dan pelestarian lingkungan. Pemasaran memanipulasi empat elemen dari bauran pemasaran (produk, harga, tempat, dan Promosi) untuk menjual produk dan jasa yang ditawarkan"
